category,id,text,use_case,tags
if_then,if_then_1,"If I feel the urge to text, then I will put my phone down and take 3 slow breaths.",,
if_then,if_then_2,"If it's late at night and I'm spiraling, then I will write 3 lines about how I want tomorrow to feel.",,
if_then,if_then_3,"If I see their name pop up, then I will wait 10 minutes and read my top Coping Card first.",,
if_then,if_then_4,"If I'm about to open our chat, then I will open the Coping Deck and pick one grounding card.",,
if_then,if_then_5,"If a memory hits hard, then I will stand up, drink a glass of water, and walk for 2 minutes.",,
surfer_tick,surfer_tick_1,Notice the urge. Let it be here without acting.,,
surfer_tick,surfer_tick_2,Breathe in through the nose… out through the mouth.,,
surfer_tick,surfer_tick_3,Waves rise and fall. This one will too.,,
surfer_tick,surfer_tick_4,Drop your shoulders. Unclench the jaw.,,
surfer_tick,surfer_tick_5,You don't have to decide anything right now.,,
coping_card,coping_card_1,Drink a full glass of water.,,
coping_card,coping_card_2,Step outside and feel the air for 60 seconds.,,
coping_card,coping_card_3,Put the phone in another room for 10 minutes.,,
coping_card,coping_card_4,Text a friend: 'Can you distract me for 5?',,
coping_card,coping_card_5,Play one song and stretch while it plays.,,
values_prompt,values_prompt_1,What choice today honors your healing most?,,
values_prompt,values_prompt_2,"If your best friend were here, what would they cheer you on to do?",,
values_prompt,values_prompt_3,What does self‑respect look like in the next 10 minutes?,,
values_prompt,values_prompt_4,How do you want to feel in the morning?,,
values_prompt,values_prompt_5,What boundary are you protecting right now?,,
reframe,reframe_1,A feeling is not a command.,,
reframe,reframe_2,Silence from them isn't proof about your worth.,,
reframe,reframe_3,Urges peak and pass. I don't have to act to feel better.,,
reframe,reframe_4,One slip doesn't erase progress.,,
reframe,reframe_5,No reply is also information.,,
breath,breath_1,"In for 4, hold 2, out for 6 — repeat ×4.",,
breath,breath_2,Box breath: 4‑4‑4‑4 (in‑hold‑out‑hold).,,
breath,breath_3,Sigh it out: long exhale through the mouth.,,
breath,breath_4,"4‑7‑8 once: in 4, hold 7, out 8.",,
breath,breath_5,Count 10 breaths; start over if you lose count.,,
reset,reset_1,No shame. Note what led here; pick one tweak for next time.,,
reset,reset_2,You still get credit for noticing the urge.,,
reset,reset_3,Resetting now is progress.,,
reset,reset_4,What helped even a little? Keep that.,,
reset,reset_5,"One step back, next step forward.",,
notification,notification_1,Tiny win check‑in: what's one kind choice tonight?,,
notification,notification_2,Your future‑you says hi. What helps them wake up calm?,,
notification,notification_3,"If‑Then reminder: 'If urge hits, then 3 breaths + water.'",,
notification,notification_4,Grounding in 10 seconds: name 3 things you see.,,
notification,notification_5,It's okay to be tired. Choose the smallest kind action.,,
disclaimer,disclaimer_1,"Not medical advice. If you're in immediate danger, call local emergency services.",,
disclaimer,disclaimer_2,"If you feel unsafe or at risk, use the SOS tab for crisis resources in your region.",,
